FID,OBJECTID,DEPTH,DOWLKNUM,abs_depth,LAKE_NAME,Shape_Leng,e,n
89,1128902,0,3008500,0,Bad Medicine,19472.02438,319262,5223459
90,1128902,0,3008500,0,Bad Medicine,19472.02438,319266,5223466
91,1128902,0,3008500,0,Bad Medicine,19472.02438,319268,5223471
92,1128902,0,3008500,0,Bad Medicine,19472.02438,319270,5223477
93,1128902,0,3008500,0,Bad Medicine,19472.02438,319272,5223480
94,1128902,0,3008500,0,Bad Medicine,19472.02438,319271,5223487
95,1128902,0,3008500,0,Bad Medicine,19472.02438,319271,5223493
96,1128902,0,3008500,0,Bad Medicine,19472.02438,319273,5223498
97,1128902,0,3008500,0,Bad Medicine,19472.02438,319272,5223505
98,1128902,0,3008500,0,Bad Medicine,19472.02438,319272,5223510
99,1128902,0,3008500,0,Bad Medicine,19472.02438,319271,5223516
100,1128902,0,3008500,0,Bad Medicine,19472.02438,319270,5223521
101,1128902,0,3008500,0,Bad Medicine,19472.02438,319269,5223527
102,1128902,0,3008500,0,Bad Medicine,19472.02438,319266,5223531
103,1128902,0,3008500,0,Bad Medicine,19472.02438,319262,5223536
104,1128902,0,3008500,0,Bad Medicine,19472.02438,319257,5223539
105,1128902,0,3008500,0,Bad Medicine,19472.02438,319254,5223541
106,1128902,0,3008500,0,Bad Medicine,19472.02438,319248,5223548
107,1128902,0,3008500,0,Bad Medicine,19472.02438,319247,5223552
108,1128902,0,3008500,0,Bad Medicine,19472.02438,319245,5223556
109,1128902,0,3008500,0,Bad Medicine,19472.02438,319242,5223559
110,1128902,0,3008500,0,Bad Medicine,19472.02438,319241,5223563
111,1128902,0,3008500,0,Bad Medicine,19472.02438,319239,5223566
112,1128902,0,3008500,0,Bad Medicine,19472.02438,319235,5223571
113,1128902,0,3008500,0,Bad Medicine,19472.02438,319236,5223576
114,1128902,0,3008500,0,Bad Medicine,19472.02438,319239,5223579
115,1128902,0,3008500,0,Bad Medicine,19472.02438,319245,5223579
116,1128902,0,3008500,0,Bad Medicine,19472.02438,319250,5223577
117,1128902,0,3008500,0,Bad Medicine,19472.02438,319256,5223576
118,1128902,0,3008500,0,Bad Medicine,19472.02438,319262,5223574
119,1128902,0,3008500,0,Bad Medicine,19472.02438,319267,5223572
120,1128902,0,3008500,0,Bad Medicine,19472.02438,319274,5223573
121,1128902,0,3008500,0,Bad Medicine,19472.02438,319279,5223575
122,1128902,0,3008500,0,Bad Medicine,19472.02438,319284,5223577
123,1128902,0,3008500,0,Bad Medicine,19472.02438,319290,5223579
124,1128902,0,3008500,0,Bad Medicine,19472.02438,319295,5223581
125,1128902,0,3008500,0,Bad Medicine,19472.02438,319302,5223584
126,1128902,0,3008500,0,Bad Medicine,19472.02438,319306,5223588
127,1128902,0,3008500,0,Bad Medicine,19472.02438,319311,5223592
128,1128902,0,3008500,0,Bad Medicine,19472.02438,319313,5223597
129,1128902,0,3008500,0,Bad Medicine,19472.02438,319317,5223601
130,1128902,0,3008500,0,Bad Medicine,19472.02438,319319,5223605
131,1128902,0,3008500,0,Bad Medicine,19472.02438,319321,5223615
132,1128902,0,3008500,0,Bad Medicine,19472.02438,319322,5223625
133,1128902,0,3008500,0,Bad Medicine,19472.02438,319322,5223631
134,1128902,0,3008500,0,Bad Medicine,19472.02438,319325,5223640
135,1128902,0,3008500,0,Bad Medicine,19472.02438,319329,5223643
136,1128902,0,3008500,0,Bad Medicine,19472.02438,319334,5223651
137,1128902,0,3008500,0,Bad Medicine,19472.02438,319337,5223654
138,1128902,0,3008500,0,Bad Medicine,19472.02438,319342,5223662
139,1128902,0,3008500,0,Bad Medicine,19472.02438,319343,5223667
140,1128902,0,3008500,0,Bad Medicine,19472.02438,319347,5223675
141,1128902,0,3008500,0,Bad Medicine,19472.02438,319350,5223685
142,1128902,0,3008500,0,Bad Medicine,19472.02438,319354,5223697
143,1128902,0,3008500,0,Bad Medicine,19472.02438,319358,5223704
144,1128902,0,3008500,0,Bad Medicine,19472.02438,319360,5223713
145,1128902,0,3008500,0,Bad Medicine,19472.02438,319363,5223719
146,1128902,0,3008500,0,Bad Medicine,19472.02438,319369,5223728
147,1128902,0,3008500,0,Bad Medicine,19472.02438,319373,5223735
148,1128902,0,3008500,0,Bad Medicine,19472.02438,319376,5223742
149,1128902,0,3008500,0,Bad Medicine,19472.02438,319382,5223754
150,1128902,0,3008500,0,Bad Medicine,19472.02438,319384,5223760
151,1128902,0,3008500,0,Bad Medicine,19472.02438,319386,5223767
152,1128902,0,3008500,0,Bad Medicine,19472.02438,319388,5223775
153,1128902,0,3008500,0,Bad Medicine,19472.02438,319391,5223781
154,1128902,0,3008500,0,Bad Medicine,19472.02438,319393,5223787
155,1128902,0,3008500,0,Bad Medicine,19472.02438,319397,5223793
156,1128902,0,3008500,0,Bad Medicine,19472.02438,319401,5223798
157,1128902,0,3008500,0,Bad Medicine,19472.02438,319406,5223805
158,1128902,0,3008500,0,Bad Medicine,19472.02438,319408,5223811
159,1128902,0,3008500,0,Bad Medicine,19472.02438,319413,5223813
160,1128902,0,3008500,0,Bad Medicine,19472.02438,319416,5223820
161,1128902,0,3008500,0,Bad Medicine,19472.02438,319419,5223827
162,1128902,0,3008500,0,Bad Medicine,19472.02438,319423,5223831
163,1128902,0,3008500,0,Bad Medicine,19472.02438,319425,5223835
164,1128902,0,3008500,0,Bad Medicine,19472.02438,319426,5223839
165,1128902,0,3008500,0,Bad Medicine,19472.02438,319427,5223843
166,1128902,0,3008500,0,Bad Medicine,19472.02438,319430,5223850
167,1128902,0,3008500,0,Bad Medicine,19472.02438,319435,5223856
168,1128902,0,3008500,0,Bad Medicine,19472.02438,319440,5223860
169,1128902,0,3008500,0,Bad Medicine,19472.02438,319443,5223867
170,1128902,0,3008500,0,Bad Medicine,19472.02438,319451,5223870
171,1128902,0,3008500,0,Bad Medicine,19472.02438,319454,5223871
172,1128902,0,3008500,0,Bad Medicine,19472.02438,319459,5223874
173,1128902,0,3008500,0,Bad Medicine,19472.02438,319465,5223874
174,1128902,0,3008500,0,Bad Medicine,19472.02438,319472,5223874
175,1128902,0,3008500,0,Bad Medicine,19472.02438,319478,5223876
176,1128902,0,3008500,0,Bad Medicine,19472.02438,319482,5223879
177,1128902,0,3008500,0,Bad Medicine,19472.02438,319491,5223882
178,1128902,0,3008500,0,Bad Medicine,19472.02438,319495,5223884
179,1128902,0,3008500,0,Bad Medicine,19472.02438,319502,5223885
180,1128902,0,3008500,0,Bad Medicine,19472.02438,319513,5223886
181,1128902,0,3008500,0,Bad Medicine,19472.02438,319517,5223888
182,1128902,0,3008500,0,Bad Medicine,19472.02438,319520,5223892
183,1128902,0,3008500,0,Bad Medicine,19472.02438,319523,5223895
184,1128902,0,3008500,0,Bad Medicine,19472.02438,319525,5223896
